country_txt,date
Dominican Republic,1970-07-02
United States,1970-01-01
Uruguay,1970-01-02
United States,1970-01-02
United States,1970-01-02
United States,1970-01-03
United States,1970-01-01
United States,1970-01-06
Italy,1970-01-08
United States,1970-01-09
United States,1970-01-09
Ethiopia,1970-01-11
United States,1970-01-12
United States,1970-01-12
United States,1970-01-13
United States,1970-01-14
Uruguay,1970-01-15
United States,1970-01-19
United States,1970-01-19
United States,1970-01-19
Guatemala,1970-01-20
Philippines,1970-01-21
Venezuela,1970-01-22
United States,1970-01-22
United States,1970-01-25
United States,1970-01-25
United States,1970-01-26
United States,1970-01-26
United States,1970-01-27
United States,1970-01-28
United States,1970-01-30
United States,1970-01-30
United States,1970-01-30
Philippines,1970-01-31
United States,1970-01-31
United States,1970-02-01
United States,1970-02-01
United States,1970-02-02
United States,1970-02-03
United States,1970-02-03
United States,1970-02-04
United States,1970-02-06
United States,1970-02-06
United States,1970-02-06
United States,1970-02-06
United States,1970-02-06
United States,1970-02-06
United States,1970-02-06
United States,1970-02-07
United States,1970-02-08
United States,1970-02-08
United States,1970-02-09
United States,1970-02-09
United States,1970-02-11
United States,1970-02-13
West Germany (FRG),1970-02-13
United States,1970-02-13
United States,1970-02-15
United States,1970-02-15
United States,1970-02-16
United States,1970-02-16
United States,1970-02-16
United States,1970-02-16
United States,1970-02-17
United States,1970-02-17
United States,1970-02-17
United States,1970-02-17
United States,1970-02-18
United States,1970-02-18
United States,1970-02-20
United States,1970-02-20
United States,1970-02-20
West Germany (FRG),1970-02-21
Switzerland,1970-02-21
United States,1970-02-21
United States,1970-02-21
United States,1970-02-21
United States,1970-02-21
United States,1970-02-22
United States,1970-02-22
United States,1970-02-23
United States,1970-02-23
United States,1970-02-23
United States,1970-02-23
United States,1970-02-23
United States,1970-02-24
United States,1970-02-24
United States,1970-02-27
Italy,1970-03-01
United States,1970-03-01
United States,1970-03-01
United States,1970-03-01
United States,1970-03-01
United States,1970-03-02
Spain,1970-03-03
United States,1970-03-03
United States,1970-03-03
United States,1970-03-04
United States,1970-03-04
United States,1970-03-04
United States,1970-03-05
United States,1970-03-05
United States,1970-03-05
Guatemala,1970-03-06
United States,1970-03-06
United States,1970-03-06
United States,1970-03-09
United States,1970-03-09
United States,1970-03-09
United States,1970-03-09
United States,1970-03-09
West Germany (FRG),1970-03-10
United States,1970-03-10
United States,1970-03-10
Brazil,1970-03-11
United States,1970-03-11
United States,1970-03-12
United States,1970-03-12
United States,1970-03-12
United States,1970-03-12
United States,1970-03-12
United States,1970-03-13
United States,1970-03-13
Ethiopia,1970-03-14
Egypt,1970-03-14
United States,1970-03-14
United States,1970-03-14
United States,1970-03-15
United States,1970-03-15
United States,1970-03-16
United States,1970-03-17
United States,1970-03-18
United States,1970-03-20
United States,1970-03-20
United States,1970-03-21
United States,1970-03-21
United States,1970-03-21
United States,1970-03-22
United States,1970-03-22
United States,1970-03-22
United States,1970-03-23
Philippines,1970-03-24
Dominican Republic,1970-03-24
Argentina,1970-03-24
United States,1970-03-24
United States,1970-03-24
United States,1970-03-24
United States,1970-03-27
Argentina,1970-03-29
Lebanon,1970-03-29
United States,1970-03-30
United States,1970-03-30
Guatemala,1970-03-31
Japan,1970-03-31
United States,1970-03-31
United States,1970-03-31
United States,1970-04-01
United States,1970-04-01
United States,1970-04-01
Philippines,1970-04-02
United States,1970-04-02
United States,1970-04-04
United States,1970-04-04
United States,1970-04-04
Brazil,1970-04-05
United States,1970-04-05
United States,1970-04-05
United States,1970-04-05
United States,1970-04-05
United States,1970-04-08
United States,1970-04-08
United States,1970-04-08
United States,1970-04-09
United States,1970-04-11
United States,1970-04-11
United States,1970-04-11
United States,1970-04-13
United States,1970-04-13
United States,1970-04-13
United States,1970-04-13
United States,1970-04-14
United States,1970-04-14
United States,1970-04-14
Jordan,1970-04-15
United States,1970-04-15
United States,1970-04-15
United States,1970-04-15
United States,1970-04-16
United States,1970-04-16
United States,1970-04-16
United States,1970-04-16
United States,1970-04-17
United States,1970-04-19
United States,1970-04-19
United States,1970-04-19
United States,1970-04-19
United States,1970-04-19
United States,1970-04-20
Philippines,1970-04-21
United States,1970-04-21
United States,1970-04-22
United States,1970-04-22
United States,1970-04-22
United States,1970-04-22
United States,1970-04-22
United States,1970-04-22
United States,1970-04-23
United States,1970-04-23
United States,1970-04-23
United States,1970-04-23
United States,1970-04-24
United States,1970-04-24
United States,1970-04-24
United States,1970-04-24
Turkey,1970-04-25
United States,1970-04-25
United States,1970-04-25
United States,1970-04-25
United States,1970-04-25
United States,1970-04-26
United States,1970-04-26
United States,1970-04-26
United States,1970-04-27
United States,1970-04-27
United States,1970-04-27
United States,1970-04-27
United States,1970-04-27
United States,1970-04-27
West Germany (FRG),1970-04-28
United States,1970-04-29
United States,1970-04-30
United States,1970-05-01
United States,1970-05-01
United States,1970-05-01
United States,1970-05-01
United States,1970-05-01
United States,1970-05-01
United States,1970-05-01
Paraguay,1970-05-04
United States,1970-05-04
United States,1970-05-04
United States,1970-05-04
United States,1970-05-04
East Germany (GDR),1970-05-05
United States,1970-05-05
United States,1970-05-05
United States,1970-05-05
United States,1970-05-05
United States,1970-05-06
United States,1970-05-06
