,country_txt,total,COUNTRY,CODE
0,Afghanistan,71374,Afghanistan,AFG
1,Albania,168,Albania,ALB
2,Algeria,20155,Algeria,DZA
3,Andorra,0,Andorra,AND
4,Angola,5080,Angola,AGO
5,Antigua and Barbuda,0,Antigua and Barbuda,ATG
6,Argentina,1244,Argentina,ARG
7,Armenia,108,Armenia,ARM
8,Australia,111,Australia,AUS
9,Austria,154,Austria,AUT
10,Azerbaijan,438,Azerbaijan,AZE
11,Bahamas,1,,BHM
12,Bahrain,201,Bahrain,BHR
13,Bangladesh,9206,Bangladesh,BGD
14,Barbados,79,Barbados,BRB
15,Belarus,226,Belarus,BLR
16,Belgium,591,Belgium,BEL
17,Belize,3,Belize,BLZ
18,Benin,8,Benin,BEN
19,Bhutan,14,Bhutan,BTN
20,Bolivia,208,Bolivia,BOL
21,Bosnia-Herzegovina,229,,BIH
22,Botswana,22,Botswana,BWA
23,Brazil,363,Brazil,BRA
24,Brunei,1,Brunei,BRN
25,Bulgaria,64,Bulgaria,BGR
26,Burkina Faso,255,Burkina Faso,BFA
27,Burundi,6507,Burundi,BDI
28,Cambodia,1329,Cambodia,KHM
29,Cameroon,2910,Cameroon,CMR
30,Canada,480,Canada,CAN
31,Central African Republic,2091,Central African Republic,CAF
32,Chad,2737,Chad,TCD
33,Chile,979,Chile,CHL
34,China,2771,China,CHN
35,Colombia,24799,Colombia,COL
36,Comoros,3,Comoros,COM
37,Costa Rica,55,Costa Rica,CRI
38,Croatia,321,Croatia,HRV
39,Cuba,18,Cuba,CUB
40,Cyprus,86,Cyprus,CYP
41,Czech Republic,35,Czech Republic,CZE
42,Czechoslovakia,50,,CZE
43,Democratic Republic of the Congo,4625,,COD
44,Denmark,34,Denmark,DNK
45,Djibouti,436,Djibouti,DJI
46,Dominica,13,Dominica,DMA
47,Dominican Republic,155,Dominican Republic,DOM
48,East Germany (GDR),39,,DEU
49,East Timor,16,,TLS
50,Ecuador,126,Ecuador,ECU
51,Egypt,7088,Egypt,EGY
52,El Salvador,17115,El Salvador,SLV
53,Equatorial Guinea,5,Equatorial Guinea,GNQ
